project,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total
hamitmizrak_innovamvc,0.36,0.0,408,411,482,485,310,313
bertoxious_springbootjwt,9.06,0.0,161,177,116,145,82,98
alexandermakeev_toy-language,75.8,55.8,314,730,242,1324,86,385
xpectuer_minijuliasonar,0.0,0.0,1628,1628,4094,4094,661,661
moacirrf_nb-java-decompiler,25.99,26.19,51,66,88,121,33,45
schambon_simrunner,1.16,5.48,858,902,2162,2276,372,395
kegisa_tinkoffstockservice,22.42,0.88,106,128,60,104,49,71
aehrc_fhir-owl,69.69,55.37,194,354,341,1030,53,149
rieckpil_hands-on-mocking-with-mockito,82.34,54.17,17,55,20,99,7,43
hamitmizrak_springmvcspringdataspringrest,8.9,1.15,383,437,541,612,252,306
selimhorri_hr-management-system,22.66,0.0,140,172,278,372,132,164
javamoney_jakarta-money,87.9,79.59,27,130,29,189,12,81
cxzero_cve-2022-42889-text4shell,7.69,0.0,9,11,20,22,7,9
akhunovaa_customer-service,45.11,28.87,106,184,97,164,39,113
ozifirebrand_printhia,39.96,14.62,284,487,13,290,52,227
c-guntur_jvms-compare,0.37,0.0,1896,1904,8802,8841,567,575
eideasy_eideasy-external-pades-digital-signatures,1.07,0.0,119,123,343,347,88,92
gofabian_junit-fixture-extension,97.97,93.55,5,106,4,225,1,75
mariamihai_spring-security-amigoscode-tutorial,46.72,0.0,45,73,106,191,43,71
arghh_binance-trade-tracker,28.55,23.75,267,358,684,951,165,238
fireinrain_javbus-telegram-bot,0.0,0.0,864,864,3110,3110,464,464
guilherj_tqi_evolution_backend_2021,1.01,0.0,452,462,140,150,190,200
koushikkothagal_ipl-dashboard,90.27,90.0,12,108,19,214,11,103
xxuzhengg_eastmoney,14.65,0.0,72,83,208,244,56,67
dmatik_oref-alerts-proxy-ms,68.01,38.24,92,205,66,282,17,120
puzpuzpuz_java-concurrency-samples,71.22,92.86,50,109,59,218,47,81
cami-la_spring-security-full-course-amigoscode,42.22,0.0,75,95,73,143,50,70
