id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool, Tests,Project Type,Execution Time (s),Artifacts,Improved
152,instipod_DuoUniversalKeycloakAuthenticator,2,1,2,1,0,0,2,1,0,0,0,0,maven,false,open source,139,c5de9c5422bff3629448f3f3fb21f4d4a75a37da,improvement
153,DevUpgrade-online_season-2,8,2,173,4,11,0,77,3,70,1,15,0,maven,true,open source,184,2b3776697d382422a799da41b0abdfddb9dbd9e0,improvement
156,unionofblackbean_UBBDispenserShulkerBoxCrashFixer,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,39,dd87b15c6816160326205ae6475ce3eee4b4891f,no improvement
146,hocyadav_leetcode-lld-flipkart-coding-blox,8,5,219,176,14,10,99,80,91,74,15,12,maven,true,open source,867,ea84a0113b292588e58d036ec515e0f2e7072935,improvement
160,leofds_iot-ladder-editor,2,0,4,0,0,0,2,0,1,0,1,0,maven,true,open source,99,517c0698cb86da12cbbd05603a0c67a383188e1a,improvement
164,kdyzm_trojan-client-netty,4,1,27,2,2,1,15,1,9,0,1,0,maven,false,open source,224,56deacab675a2b743eeaefabab9e13dba9e95fe8,improvement
158,AllenSun-HM_moments_v2_backend,16,12,447,249,18,18,137,113,211,99,81,19,maven,false,open source,2047,6314021a343fbabfd880bf8a73916f014d8ee481,improvement
167,SelimHorri_tiny-movie-catalog-microservice-app,9,1,844,9,54,0,357,6,391,3,42,0,maven,false,open source,1563,22a57d9c602e027405d59cc2ab1864dd56483e14,improvement
170,geekyouth_crack-dbeaver-password,6,5,210,200,11,11,74,70,101,98,24,21,maven,true,open source,1731,42397c129a1d3c0f6108b37574cb22ff04091863,improvement
172,collabH_flink-connector-kudu,8,5,55,34,0,0,16,17,35,17,4,0,maven,false,open source,444,a10b72643ec31c343b1b59cf55207f89def4701a,improvement
169,obrunodelgado_camelboilerplate,11,8,276,206,23,18,131,97,107,82,15,9,maven,true,open source,3090,9a8c066bcd70e416490e8ad8a941a27b0e3e820a,improvement
175,muieer_xuanke,12,8,351,144,23,16,164,65,137,57,27,6,maven,false,open source,1063,6c9e86bf4277d805e15e231b6363daf8648ee7ac,improvement
174,underc0delabs_Autoc0de-WEB,7,3,54,13,6,2,31,9,15,2,2,0,maven,false,open source,1173,09d08b4ef4ead2dd393f57aea7bf999bdc9e5c98,improvement
180,brunoborges_aks-jvm-benchmark,3,3,32,15,9,5,11,6,11,4,1,0,maven,true,open source,192,682c8a008e392f5449594967a2c26d42386d46b8,improvement
181,MyLanPangzi_flink-demo,14,9,153,114,4,4,51,47,86,51,12,12,maven,false,open source,333,369eba5cc59e02f723ee6812402104525718ab3f,improvement
182,endixk_ezaai,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,84,bd00e2f7d194a47165e2e00d4393540940972c3e,no improvement
186,rollno748_di-kafkameter,3,1,19,11,1,0,6,1,11,9,1,1,maven,false,open source,389,8c2dcc9c3c5452ff7cbbcdb33303ca7d74e79b71,improvement
179,LanjunC_nccommunity,19,18,450,249,27,27,223,103,171,105,29,14,maven,false,open source,1930,e7ed57c57368d47d986b5ba7dd87eea1cf964bed,improvement
204,wso2_contract-test-runner,6,1,12,1,0,0,5,1,5,0,2,0,maven,false,open source,185,c4a3966e8571f9aae42812dbe5830afe952717b7,improvement
207,SirSkaro_pokeapi-reactor,6,0,126,0,7,0,65,0,48,0,6,0,maven,true,open source,235,d6d372b482e16963588ff6780519923e9b9dbd78,improvement
208,veeva_vault-api-library,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,179,60fe4e5afa82a41a1ceed1e7f53c504f6fca3d33,no improvement
212,forax_record-util,1,0,1,0,0,0,1,0,0,0,0,0,maven,true,open source,98,b54a794943d37eead1b649e72fbd508550950f0a,improvement
214,laowenruo_Spring-IOC,1,0,2,0,0,0,0,0,0,0,2,0,maven,false,open source,90,e55b77f3ad5676b1d24eb6d297abdaca971d58f7,improvement
215,renfei_Indexing,2,1,52,44,1,0,19,15,32,29,0,0,maven,false,open source,258,e47c339091f5351eb24a8ff0aefc3c46be516c45,improvement
192,jingqueyimu_chewing,20,18,464,421,26,26,179,156,218,202,41,37,maven,true,open source,3902,63f3930dc7a63ce6ab821bd7135c159f2aa96887,improvement
223,olein_Java-AWS-RnD,3,3,86,37,7,9,38,11,38,15,3,2,maven,true,open source,248,7140b9328317bb5e22ec5fcfed32d6cb6932674a,improvement
226,rinaldodev_design-patterns,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,30,eb521ed28819e356c818f3a12f98386abb9cf763,no improvement
219,Gad1211_epidemicManage,14,10,303,189,15,12,112,85,137,78,39,14,maven,false,open source,1816,90fd5ca17b550f3b7efb3ef9a9b1b295d087f2d7,improvement
227,yeafel666_price-get,5,5,124,123,8,8,56,56,53,52,7,7,maven,false,open source,683,add9c914bf0bb551a21357a3cbfd1259dd642b0b,improvement
229,chenqi92_allbs-model,0,0,0,0,0,0,0,0,0,0,0,0,maven,false,open source,41,404a47300a6a077c6e9e0fa79ce5d1cfdb318220,no improvement
230,rollno748_Extended-csv-dataset-config,2,2,306,157,4,2,98,50,168,87,36,18,maven,false,open source,192,4feaddec770299d5f6e40389a0628f44b4df172d,improvement
231,Raphael77777_BullittTWS,1,1,1,1,0,0,1,1,0,0,0,0,maven,true,open source,34,624a52cb387de9b293fee251212e5a7e05f7cbd1,no improvement
228,punit3299_loan-application-backend,10,7,263,212,15,10,97,73,111,93,40,36,maven,false,open source,819,ff22faf83ca1954121360ce4718206a4b6ff8fc3,improvement
232,bezkoder_spring-boot-refresh-token-jwt,8,7,224,187,13,9,75,59,108,94,28,25,maven,false,open source,575,154154b07694799d0718be75536bf2d7845d829e,improvement
